author,book,year,country
Homer,Iliad (Ἰλιάς),8th century BC,🏛️ Greece
Homer,Odyssey (Ὀδύσσεια),8th century BC,🏛️ Greece
Caesar,De Bello Gallico,58-49 BC,🏛️ Rome
Virgil,Georgics,36-29 BC,🏛️ Rome
Virgil,Aeneid,19 BC,🏛️ Rome
Ovid,Metamorphoses,8,🏛️ Rome
Seneca,De Brevitate Vitae,49,🏛️ Rome
Marcus Aurelius,Meditations (Τὰ εἰς ἑαυτόν),170-180,🏛️ Rome
Anonymous,Poetic Edda,1270,🇮🇸 Iceland
Snorri Sturluson,Prose Edda,1220,🇮🇸 Iceland
Julio Cortázar,Final del juego,1956,🇦🇷 Argentina
Gabriel Garcia Marquez,En Agosto Nos Vemos,2024,🇨🇴 Colombia
Olga Tokarczuk,Drive Your Plow Over the Bones of the Dead,2009,🇵🇱 Poland,
Orhan Pamuk,The Red-Haired Woman,2016,🇹🇷 Turkey,
Chinua Achebe,Things Fall Apart,1958,🇳🇬 Nigeria
J.M. Coetzee,The Childhood of Jesus,2013,🇿🇦 South Africa
W.B. Yeats,,,🇮🇪 Ireland
James Joyce,A Portrait of the Artist as a Young Man,1916,🇮🇪 Ireland
James Joyce,Ulysses,1922,🇮🇪 Ireland  
Seamus Heaney,,,🇮🇪 Ireland
Geoffrey Chaucer,The Canterbury Tales,1387,🇬🇧 UK
Edmund Spenser,The Faerie Queene,1590,🇬🇧 UK
William Shakespeare,A Midsummer Night’s Dream,1595,🇬🇧 UK
William Shakespeare,Hamlet,1600,🇬🇧 UK
William Shakespeare,Macbeth,1606,🇬🇧 UK
William Shakespeare,The Sonnets,1609,🇬🇧 UK
John Milton,Paradise Lost,1667,🇬🇧 UK
Jane Austen,Sense and Sensibility,1811,🇬🇧 UK
Jane Austen,Pride and Prejudice,1813,🇬🇧 UK
Jane Austen,Mansfield Park,1814,🇬🇧 UK
Jane Austen,Emma,1816,🇬🇧 UK
Anne Brontë,Agnes Grey,1847,🇬🇧 UK
Charlotte Brontë,Jane Eyre,1847,🇬🇧 UK
William Blake,,,🇬🇧 UK
William Wordsworth,,,🇬🇧 UK
Samuel Taylor Coleridge,,,🇬🇧 UK
John Clare,,,🇬🇧 UK
Lord Byron,,,🇬🇧 UK
Percy Bysshe Shelley,,,🇬🇧 UK
John Keats,,,🇬🇧 UK
George Eliot,Middlemarch,1872,🇬🇧 UK
Virginia Woolf,Mrs. Dalloway,1925,🇬🇧 UK
Virginia Woolf,To the Lighthouse,1927,🇬🇧 UK
Virginia Woolf,Orlando,1927,🇬🇧 UK
