author,year,country
Sully Prudhomme,1901,France
Theodor Mommsen,1902,Germany
Bjørnstjerne Bjørnson,1903,Norway
Frédéric Mistral,1904,France
Henryk Sienkiewicz,1905,Poland
Giosuè Carducci,1906,Italy
Rudyard Kipling,1907,United Kingdom
Rudolf Christoph Eucken,1908,Germany
Selma Lagerlöf,1909,Sweden
Paul Heyse,1910,Germany
Maurice Maeterlinck,1911,Belgium
Gerhart Hauptmann,1912,Germany
Rabindranath Tagore,1913,India
Romain Rolland,1915,France
Verner von Heidenstam,1916,Sweden
Karl Gjellerup,1917,Denmark
Carl Spitteler,1919,Switzerland
Knut Hamsun,1920,Norway
Anatole France,1921,France
Jacinto Benavente,1922,Spain
William Butler Yeats,1923,Ireland
Władysław Reymont,1924,Poland
George Bernard Shaw,1925,United Kingdom
Grazia Deledda,1926,Italy
Henri Bergson,1927,France
Sigrid Undset,1928,Norway
Thomas Mann,1929,Germany
Sinclair Lewis,1930,United States
Erik Axel Karlfeldt,1931,Sweden
John Galsworthy,1932,United Kingdom
Ivan Bunin,1933,Stateless
Luigi Pirandello,1934,Italy
Eugene O’Neill,1936,United States
Roger Martin du Gard,1937,France
Pearl S. Buck,1938,United States
Frans Eemil Sillanpää,1939,Finland
Johannes V. Jensen,1944,Denmark
Gabriela Mistral,1945,Chile
Hermann Hesse,1946,Germany
André Gide,1947,France
T. S. Eliot,1948,United Kingdom
William Faulkner,1949,United States
Bertrand Russell,1950,United Kingdom
Pär Lagerkvist,1951,Sweden
François Mauriac,1952,France
Winston Churchill,1953,United Kingdom
Ernest Hemingway,1954,United States
Halldór Laxness,1955,Iceland
Juan Ramón Jiménez,1956,Spain
Albert Camus,1957,France
Boris Pasternak,1958,Soviet Union
Salvatore Quasimodo,1959,Italy
Saint-John Perse,1960,France
Ivo Andrić,1961,Yugoslavia
John Steinbeck,1962,United States
Giorgos Seferis,1963,Greece
Jean-Paul Sartre,1964,France
Mikhail Sholokhov,1965,Soviet Union
Shmuel Yosef Agnon,1966,Israel
Miguel Ángel Asturias,1967,Guatemala
Yasunari Kawabata,1968,Japan
Samuel Beckett,1969,Ireland
Aleksandr Solzhenitsyn,1970,Soviet Union
Pablo Neruda,1971,Chile
Heinrich Böll,1972,Germany
Patrick White,1973,Australia
Eyvind Johnson,1974,Sweden
Harry Martinson,1974,Sweden
Eugenio Montale,1975,Italy
Saul Bellow,1976,United States
Vicente Aleixandre,1977,Spain
Isaac Bashevis Singer,1978,United States
Odysseas Elytis,1979,Greece
Czesław Miłosz,1980,Poland
Elias Canetti,1981,United Kingdom
Gabriel García Márquez,1982,Colombia
William Golding,1983,United Kingdom
Jaroslav Seifert,1984,Czechoslovakia
Claude Simon,1985,France
Wole Soyinka,1986,Nigeria
Joseph Brodsky,1987,United States
Naguib Mahfouz,1988,Egypt
Camilo José Cela,1989,Spain
Octavio Paz,1990,Mexico
Nadine Gordimer,1991,South Africa
Derek Walcott,1992,Saint Lucia
Toni Morrison,1993,United States
Kenzaburō Ōe,1994,Japan
Seamus Heaney,1995,Ireland
Wisława Szymborska,1996,Poland
Dario Fo,1997,Italy
José Saramago,1998,Portugal
Günter Grass,1999,Germany
Gao Xingjian,2000,France
V. S. Naipaul,2001,United Kingdom
Imre Kertész,2002,Hungary
J. M. Coetzee,2003,South Africa
Elfriede Jelinek,2004,Austria
Harold Pinter,2005,United Kingdom
Orhan Pamuk,2006,Turkey
Doris Lessing,2007,United Kingdom
J. M. G. Le Clézio,2008,France
Herta Müller,2009,Germany
Mario Vargas Llosa,2010,Peru
Tomas Tranströmer,2011,Sweden
Mo Yan,2012,China
Alice Munro,2013,Canada
Patrick Modiano,2014,France
Svetlana Alexievich,2015,Belarus
Bob Dylan,2016,United States
Kazuo Ishiguro,2017,United Kingdom
Olga Tokarczuk,2018,Poland
Peter Handke,2019,Austria
Louise Glück,2020,United States
Abdulrazak Gurnah,2021,Tanzania
Annie Ernaux,2022,France
Jon Fosse,2023,Norway
Han Kang,2024,South Korea
