movie,year,country,watched
The Drama,2026,🇺🇸 USA,12/04/2026
Stand By Me,1986,🇺🇸 USA,11/04/2026
Blue Moon,2025,🇺🇸 USA,22/03/2026
Project Hail Mary,2026,🇺🇸 USA,21/03/2026
The Stranger (L'Étranger),2025,🇫🇷 France,16/03/2026
The Cranes Are Flying (Летят журавли),1957,🇷🇺 Russia,11/03/2026
Ivan's Childhood (Ива́ново де́тство),1962,🇷🇺 Russia,10/03/2026
Come and See (Ідзі і глядзі),1985,🇧🇾 Belarus,08/03/2026
Solaris (Солярис),1972,🇷🇺 Russia,07/03/2026
Mirror (Зеркало),1975,🇷🇺 Russia,06/03/2026
Stalker (Сталкер),1979,🇷🇺 Russia,03/03/2026
Portrait of a Lady on Fire (Portrait de la jeune fille en feu),2019,🇫🇷 France,03/03/2026
Secret Agent (Agente Secreto),2025,🇧🇷 Brazil,28/02/2026
Persona,1966,🇸🇪 Sweden,22/02/2026
No Other Choice (어쩔수가없다),🇰🇷 South Korea,21/02/2026
If I Had Legs I'd Kick You,2025,🇺🇸 USA,20/02/2026
Bufo & Spallanzani,2001,🇧🇷 Brazil,19/02/2026
Brief Encounter,1945,🇬🇧 UK,18/02/2026
Autumn Sonata (Höstsonaten),1978,🇸🇪 Sweden,14/02/2026
Wuthering Heights,2025,🇬🇧 UK,13/02/2026
Bonjour Tristesse,1958,🇺🇸 USA,10/02/2026
Train Dreams,2025,🇺🇸 USA,08/02/2026
Barry Lyndon,1975,🇬🇧 UK,07/02/2026
Summer with Monika (Sommaren med Monika),1953,🇸🇪 Sweden,05/02/2026
Hamnet,2025,🇬🇧 UK,31/01/2026
A Complete Unknown,2025,🇺🇸 USA,26/01/2026
Wild Strawberries (Smultronstället),1957,🇸🇪 Sweden,24/01/2026
Sinners,2025,🇺🇸 USA,21/01/2026
Marty Supreme,2025,🇺🇸 USA,-
Frankenstein,2025,🇺🇸 USA,-
The Worst Person in the World (Verdens verste menneske),2021,🇳🇴 Norway,-
Sentimental Value (Affeksjonsverdi),2025,🇳🇴 Norway,-
One Battle After Another,2025,🇺🇸 USA,-
A Big Bold Beautiful Journey,2025,🇺🇸 USA,26/09/2025
The Materialists,2025,🇺🇸 USA,-
On The Waterfront,1954,🇺🇸 USA,01/06/2025
The Hours,2002,🇺🇸 USA,29/05/2025
A Friend of Mine (Ein Freund von mir),2006,🇩🇪 Germany,17/05/2025
Perfect Days (パーフェクト・デイズ/原題),2023,🇯🇵 Japan,20/04/2025
After the Wedding (Efter brylluppet),2006,🇩🇰 Denmark,06/04/2025
Night Stage (Ato Noturno),2025,🇧🇷 Brazil,29/03/2025
Locke,2013,🇬🇧 UK,09/03/2025
Small Things Like These,2024,🇮🇪 Ireland,02/03/2025
The Seventh Seal (Det sjunde inseglet),1957,🇸🇪 Sweden,01/03/2025
The Girl with the Needle (Pigen med nålen),2024,🇩🇰 Denmark,28/02/2025
Conclave,2025,🇺🇸 USA,23/02/2025
25th Hour,2002,🇺🇸 USA,23/02/2025
Anora,2025,🇺🇸 USA,22/02/2025
The Brutalist,2025,🇺🇸 USA,16/02/2025
We Live in Time,2024,🇺🇸 USA,14/02/2025
Citizen Kane,1941,🇺🇸 USA,08/02/2025
Grave of the Fireflies (火垂るの墓/Hotaru no Haka),1994,🇯🇵 Japan,26/01/2025
Nosferatu,2024,🇺🇸 USA,10/01/2025
