artist,album,year,country,date
Molchat Doma (Молчат Дома),Etazhi (Этажи),2018,🇧🇾 Belarus,
Neil Young,After the Gold Rush,1970,🇨🇦 Canada,
Focus,Moving Waves,1971,🇳🇱 Netherlands,
Björk,Homogenic,1997,🇮🇸 Iceland,-/04/2025
Bob Marley & The Wailers,Exodus,1977,🇯🇲 Jamaica,
Masayoshi Takanaka,BRASILIAN SKIES,1978,🇯🇵 Japan,
The Fishmans,The Long Seasons,1996,🇯🇵 Japan,
The Kinks,-,-,🇬🇧 UK,
yeule,Seratonin II,2019,🇸🇬 Singapore,
Clairo,Charm,2024,🇺🇸 USA,
Chappell Roan,The Rise and Fall of a Midwest Princess,2023,🇺🇸 USA,
